trap_family,student_name,definition,why_tempting,repair_prompt,default_review_interval_days
Scope Failure,Outside the Argument,"The choice raises a consideration the argument never commits to — a different benefit, a different comparison, a different axis of evaluation. Whatever it settles, none of the argument's reasoning turns on it.","It is usually true, and it sits squarely inside the argument's subject matter, so it reads as pertinent. The pull is topical relevance standing in for logical relevance.","Name the exact claim this choice would have to bear on, then check that the argument actually rests on that claim.",1
Direction Failure,Pushes the Wrong Way,"The choice bears on precisely the right claim but pushes it the opposite way from what the task requires — weakening where you were asked to strengthen, or running a conditional or a causal chain backward.","It is on point, and often it is the most clearly relevant fact among the five. The pull is that relevance masks the fact that the choice is working against you.","Before you commit, say whether the choice makes the conclusion more likely or less likely, and check that answer against what the question asked for.",1
Inference Failure,Goes Beyond the Text,"The choice asserts more than the statements guarantee — a stronger version, a converse, a reversed chain, or an added detail. It is compatible with the passage without being forced by it.",It is built entirely from the passage's own vocabulary and would hold under the most natural reading of the situation. The pull is that could-be-true feels like must-be-true.,"Ask whether the passage would still permit this choice to be false; if it would, the choice is not supported.",1
Role Failure,"Right Claim, Wrong Job","The choice correctly identifies a statement that appears in the argument but misdescribes the job that statement does — treating a premise as the conclusion, a supporting principle as the point at issue, or background as the target.","You recognize the sentence, and recognition feels like comprehension. The pull is that the choice is accurate about content and wrong only about structure.","For the claim in question, ask what it is doing for the argument — supporting something, or being supported.",2
Conclusion Failure,Not the Main Point,"The choice states something the argument genuinely holds — a premise, a concession, background, or an intermediate step — or an inflated version of the conclusion. It is not the claim that everything else is offered to support.","It is true and prominent, often the most striking sentence in the passage. The pull is that emphasis reads as conclusion, and a bolder claim reads as a bolder conclusion.","For the claim you have chosen, ask whether the rest of the passage supports it or it supports the rest.",2
Form Failure,Different Logical Shape,"The choice shares the argument's subject matter or tone but not its logical machinery — it affirms a consequent where the argument denied one, or runs a conditional forward where the argument ran it backward.",It sounds like the argument and often lands on a similarly hedged conclusion. The pull is that surface cadence substitutes for the underlying inference pattern.,"Strip both arguments down to their bare conditionals and compare those skeletons, not the sentences that dress them.",2
Conditional Failure,Confuses If and Only If,"The choice mishandles the conditional the argument depends on — supplying the converse, treating a necessary condition as a sufficient one, or asserting a bare fact where a connecting link is required.","It contains exactly the right terms in exactly the right places, so it looks like the missing link. The pull is that the words match while the arrow points the wrong way.",Rewrite the choice as ‘if X then Y’ and ask whether the argument needs that arrow or the one running the other way.,2
Misdescription,A Flaw That Isn't There,"In a describe-the-flaw task, the choice names a real and familiar reasoning error — but not one this argument commits. The description would be accurate about some other argument and is simply false about this one.","The error it names is one you have been drilled to spot, and the wording is textbook. The pull is recognition of the flaw's name, unchecked against what the argument actually did.","Point to the exact sentence where the argument commits the error the choice describes; if you cannot find it, reject the choice.",4
Resolve Failure,Doesn't Explain the Puzzle,"Where the task is to reconcile two facts that sit oddly together, the choice adds further information about the situation without accounting for why both facts hold at once. Some such choices deepen the puzzle rather than dissolve it.","It is on topic and often genuinely informative, so it feels like progress. The pull is that any new fact about the situation feels like an explanation of it.","State the surprising pairing in one sentence, then check whether the choice makes both halves unsurprising together.",4
Structure Failure,Wrong Structural Charge,"In a describe-the-flaw task, the choice charges the argument with a defect in how its parts fit together — reasoning from a part to a whole, from a single case to all cases, or from premises that cannot both hold — where no such move occurs.","These are the defects most often drilled, so the vocabulary is familiar and the charge sounds sophisticated. The pull is that every argument has parts, and any argument with parts can be accused of misassembling them.",Trace the argument's actual steps in order and confirm that the structural move the choice describes is one of them.,4
Parallel Failure,Almost the Same Pattern,"The choice reproduces most of the argument's pattern but alters one structural piece — a universal becomes a ‘most’, two ‘some’ claims stand in for a universal, or premise and conclusion trade places.","It matches on every feature you check first: topic, tone, and the shape of the conclusion. The pull is that a single substituted quantifier is invisible unless you go looking for it.","Compare the quantifiers and the order of premise and conclusion one at a time, rather than judging the arguments as wholes.",4
Principle Failure,Principle Doesn't Apply,"Where a stated principle governs the task, the choice describes a case that never triggers that principle's conditions — the wrong belief, the wrong actor, or the wrong action — so the principle cannot license the verdict drawn.",The case rhymes with the principle and reaches a verdict the principle might plausibly reach. The pull is that a near miss on the trigger conditions still feels covered.,"Read the principle's conditions one clause at a time and confirm the choice satisfies every clause, not merely the spirit.",6
Relevance Failure,Attacks the Wrong Target,"In a describe-the-flaw task, the choice charges the argument with dismissing a claim for reasons bearing on its source rather than its content — the speaker's motives, the claim's popularity, or the mere absence of proof — where the argument does nothing of the kind.",An argument that criticizes someone else's argument looks as though it must be attacking the person. The pull is that a visible opponent invites the most familiar of all fallacy names.,"Identify the reason the argument actually gives for its verdict, then check whether that reason is about the claim or about who made it.",6
Causal Failure,Cause and Effect Misread,"The choice treats the argument as confusing a cause with its effect, or a correlation with a cause, when the argument makes no such move; or it substitutes a rival causal story for the one the argument is actually built on.","Causal language runs through these passages, and reversal is a real and famous error. The pull is that any argument mentioning a cause seems open to the charge of having reversed it.","Say which thing the argument treats as cause and which as effect, then check that the choice has them in that same order.",9
Dispute Failure,Not What They Disagree On,"Where two speakers are in play, the choice states a claim that only one of them addresses, or one that both could accept, so it is not a proposition on which they are committed to opposite verdicts.","One speaker really does assert it, often emphatically, and the other never endorses it. The pull is that silence reads as denial.","Check that each speaker takes a stand on the choice, and then that their stands are opposite.",9
Analogy Failure,Breaks the Comparison,"Where the argument sets up a mapping between two situations, the choice carries a feature across that mapping incorrectly — attaching the behaviour to the wrong object, reading the comparison literally, or reversing the direction it runs in.","It uses the very terms the comparison introduced, and often describes something people genuinely do. The pull is that the vocabulary transfers even where the mapping does not.","Write down what corresponds to what in the comparison, then confirm the choice respects every pairing.",9
Method Failure,Technique Never Used,"Where the task asks how an argument proceeds, the choice names a recognizable argumentative technique — exposing an ambiguity, contrasting belief with fact, arguing from likeness — that this argument does not employ.","The technique named is one that arguments of this kind often do use, and the description is abstract enough to feel roomy. The pull is that plausible method language is hard to falsify at a glance.","Describe in your own words what the argument does, then find the choice that matches your description rather than the one that sounds most like reasoning.",9
Comparison Failure,Only One Side Compared,"Where the argument rests on a comparison between two cases or two groups, the choice speaks to only one side of that comparison, or to variation within it, and leaves the relation between the two untouched.","It reinforces something the argument genuinely relies on, so it feels supportive or damaging exactly as the question requires. The pull is that work done on half a comparison reads as work done on the whole.","Name both sides of the comparison the argument needs, then check that the choice speaks to the relation between them.",14
Evidence Failure,Disputes Undisputed Support,"The choice treats the argument as contesting the evidence for a claim that the argument never actually puts in doubt, and so misplaces where the disagreement falls.","The claim it questions is prominent, and questioning evidence is what critical arguments usually do. The pull is that the most conspicuous factual detail looks like the one under attack.","Identify precisely which claim the argument contests, and check that the choice is about that claim and not a neighbouring one.",14
Language Failure,A Word That Never Shifted,"In a describe-the-flaw task, the choice charges the argument with using a key term in two different senses, when in fact the term carries one steady meaning throughout.","Shifted-term charges are a staple of flaw questions, and any repeated word can be made to look suspicious. The pull is that the charge is quick to assert and slow to check.","Fix one definition of the disputed term, substitute it everywhere the term appears, and see whether the argument still reads the same.",14
