factory_recipe_id,canonical_recipe_id
EVALUATE_KEY_UNCERTAINTY,EVALUATE_KEY_UNCERTAINTY
FLAW_DESCRIBE,FLAW_DESCRIBE
MAIN_CONCLUSION,MAIN_CONCLUSION
MAIN_CONCLUSION_ID,MAIN_CONCLUSION
MBT_DEDUCE,MBT_DEDUCE
METHOD_OF_REASONING,METHOD_OF_REASONING
MOST_STRONGLY_SUPPORTED,MSS_SUPPORTED
MSS_SUPPORTED,MSS_SUPPORTED
MUST_BE_TRUE_CHAIN,MBT_DEDUCE
NA_REQUIRED,NA_REQUIRED
NECESSARY_ASSUMPTION_BRIDGE,NA_REQUIRED
PARALLEL_FLAW,PARALLEL_FLAW
PARALLEL_REASONING,PARALLEL_REASONING_FORM
PARALLEL_REASONING_FORM,PARALLEL_REASONING_FORM
POINT_AT_ISSUE,POINT_AT_ISSUE
PRINCIPLE_APPLY,PRINCIPLE_APPLY
PRINCIPLE_CONFORM,PRINCIPLE_CONFORM
PRINCIPLE_ILLUSTRATE,PRINCIPLE_ILLUSTRATE
PRINCIPLE_JUSTIFY,PRINCIPLE_JUSTIFY
RESOLVE_EXPLAIN,RESOLVE_EXPLAIN
ROLE_IN_ARGUMENT,ROLE_IN_ARGUMENT
ROLE_OF_CITED_CLAIM,ROLE_IN_ARGUMENT
SA_BRIDGE,SA_BRIDGE
STRENGTHEN_CLOSE_SUPPORT_GAP,STRENGTHEN_CLOSE_SUPPORT_GAP
STRENGTHEN_RULE_OUT_RIVAL,STRENGTHEN_RULE_OUT_RIVAL
STRENGTHEN_SUPPORT_CAUSE,STRENGTHEN_SUPPORT_CAUSE
SUFFICIENT_ASSUMPTION_CONDITIONAL_BRIDGE,SA_BRIDGE
WEAKEN_ALTERNATIVE_CAUSE,WEAKEN_ALTERNATIVE_CAUSE
WEAKEN_ATTACK_KEY_LINK,WEAKEN_ATTACK_KEY_LINK
