recipe_id,recipe_title,question_types,plain_english_pattern,what_to_notice,prediction_rule,common_traps,repair_lesson,mastery_threshold
FLAW_DESCRIBE,Describe the Flaw,"[""FL""]","The argument draws a conclusion from support that leaves one specific hole open: an alternative it never rules out, a case that does not transfer, or a rate mistaken for an instance. The credited answer names that hole in general terms.","A verdict is stated and defended, and one step between the last piece of evidence and the verdict is unearned. The stem asks what is wrong with the reasoning, not what would fix it.","Say the leap in one sentence -- it concludes X from Y, but Y leaves Z open -- before you read a single choice.","[""Scope Failure"",""Misdescription"",""Structure Failure"",""Relevance Failure"",""Conditional Failure""]","A miss here usually means you accepted a choice that names a famous error the argument never committed, because the name was familiar. Before accepting any flaw description, find the sentence in which the argument makes that move. If you cannot point to it, the choice is describing some other argument.",0.85
NA_REQUIRED,What the Argument Must Assume,"[""NA""]",The argument's support reaches its conclusion only because something further is quietly taken for granted. That unstated thing is not extra help; without it the support does not connect at all.,"The support establishes one thing while the conclusion needs another, and nothing in the passage closes the distance between them.","Say what has to be true for this support to reach this conclusion, then confirm that denying your sentence would break the argument outright.","[""Scope Failure"",""Direction Failure"",""Conditional Failure"",""Causal Failure"",""Role Failure""]","A miss here usually means you chose a statement that would help the argument rather than one it cannot do without. Necessary is not the same as useful. Negate the choice: if the argument still stands, it was never required.",0.85
WEAKEN_ATTACK_KEY_LINK,Weaken by Breaking the Link,"[""WK""]","The argument crosses from its evidence to its verdict over a single load-bearing link -- a mechanism, a comparison, or a second aim that must also be met. Everything the conclusion claims depends on that one connection holding.",One sentence carries the whole inference and the passage never defends it; the evidence would sit just as comfortably in an argument reaching the opposite verdict.,"Name the one link the conclusion cannot survive without, then predict the fact that would make that link fail while leaving the evidence true.","[""Scope Failure"",""Direction Failure""]","A miss here usually means you picked something unwelcome for the conclusion's topic rather than something fatal to its link, or a fact that in truth pushes the other way. Weakening is not the same as bad news. Locate the link first, then ask what would sever it.",0.85
STRENGTHEN_SUPPORT_CAUSE,Confirm the Proposed Mechanism,"[""ST""]","The argument observes a result and proposes one explanation for it -- a cause, a purpose, a mechanism. The support is consistent with that explanation but does not yet single it out from the alternatives.","A cause or purpose is asserted on the strength of a correlation, a laboratory result, or one observation, and nothing yet ties the result to that mechanism in particular.","Name the explanation the argument is defending, then predict the fact that would fit it and no rival -- a matching timing, pattern, or confirmation in the field.","[""Scope Failure"",""Direction Failure""]","A miss here usually means you took a fact that restates the argument's topic, or that merely clears a practical objection, as support for its explanation. Removing an obstacle is not evidence. Ask whether the choice makes the proposed explanation likelier than its rivals.",0.85
SA_BRIDGE,Supply the Missing Conditional,"[""SA""]","The support names one thing and the conclusion names another, and the argument never states the rule that carries you across. Add the right rule and the conclusion follows with no slack left over.","A term appears in the conclusion that never appeared in the support, or the reverse; what is missing is a rule, not more evidence.","Write the rule as ‘if what the support gives, then what the conclusion needs’ and hunt for that exact sentence among the choices.","[""Scope Failure"",""Conditional Failure"",""Direction Failure"",""Role Failure""]","A miss here usually means you chose a statement that makes the conclusion likely rather than one that makes it follow. A sufficient assumption is not an aid; it is the missing premise. Check that once your choice is added, the conclusion is unavoidable.",0.85
MSS_SUPPORTED,Draw the Best-Supported Claim,"[""MSS""]","The passage supplies facts and stops short of a verdict, often as a chain, a proportion, or a comparison drawn between two situations. One claim is better backed by those facts than any other.","The passage ends without a conclusion, or with a blank to fill; its sentences link to one another, and following that linkage is the whole task.","Follow the passage's own links to their end and state the most modest claim they leave standing, before you look at any choice.","[""Inference Failure"",""Scope Failure"",""Direction Failure"",""Analogy Failure""]","A miss here usually means you accepted a claim the passage merely permits, or you ran one of its chains backwards. Ask of your choice whether the passage would still allow it to be false. Stay with the smallest claim the facts actually carry.",0.90
MAIN_CONCLUSION,Find the Main Conclusion,"[""MC""]",Every sentence in the passage either supports one particular claim or prepares the ground for it. That one claim is the point being argued; the rest is machinery.,"Watch for a concession word such as ‘but’ or ‘even so’, or a recommendation carrying ‘should’; the conclusion usually sits after the concession rather than in the opening sentence.","Take each candidate claim and ask whether the rest of the passage supports it or it supports the rest, then state the conclusion in your own words.","[""Conclusion Failure"",""Role Failure"",""Scope Failure"",""Direction Failure""]","A miss here usually means you chose the most emphatic or the most sweeping sentence instead of the supported one. Emphasis is not conclusion, and a bolder claim is not a better one. Run the support test on every candidate, including the one you like.",0.85
MBT_DEDUCE,Must Be True,"[""MBT""]","The passage lays down rules, definitions, or facts that interlock. One claim is forced by them: it cannot be false while they are true.","The passage reads as a set of rules rather than an argument -- definitions, universal claims, or a superlative such as ‘the gravest of all’.","Combine the rules in the only order they permit and state what they force, then accept no choice that could still be false.","[""Inference Failure"",""Scope Failure"",""Direction Failure""]","A miss here usually means you accepted the most reasonable-sounding claim rather than a guaranteed one. Must-be-true tolerates no ‘probably’. Try to build a world where the passage holds and your choice fails; if you can, discard it.",0.80
PARALLEL_REASONING_FORM,Match the Argument's Form,"[""PA""]","The argument's content is disposable; what is being tested is its skeleton -- how its quantifiers, conditionals, and conclusion fit together. A choice matches only if that skeleton is the same.","The subject matter of the choices has nothing to do with the passage, which is itself the signal that only shape is at issue.","Rewrite the argument with letters -- all A are B, some C are A, therefore some C are B -- and match that skeleton rather than the story.","[""Parallel Failure"",""Form Failure""]","A miss here usually means you matched the topic, the tone, or the conclusion's confidence rather than the form. Reduce both arguments to letters before comparing them. Then check the quantifiers and the order of premise and conclusion, one at a time.",0.75
ROLE_IN_ARGUMENT,Role of a Claim,"[""RC""]","One sentence of the argument is singled out, and the question is what work it does: supporting the conclusion, being supported by it, conceding a point, or standing as the view under attack.","The stem quotes a particular claim back at you; the conclusion is elsewhere in the passage, and the quoted claim's role is defined entirely by its relation to it.","Find the argument's conclusion first, then say in one phrase what the quoted claim does for it -- supports it, follows from it, or is opposed by it.","[""Role Failure"",""Direction Failure"",""Scope Failure""]","A miss here usually means you judged the quoted claim by how important it sounded instead of by where it sits. A claim can be true, central, and still be a premise. Locate the conclusion before you judge anything else; every other role is defined against it.",0.80
